SheepID,Sex,Year_,Month_,Day_
21F,F,2011,1,5
21F,F,2011,1,5
21F,F,2011,1,6
21F,F,2011,1,6
21F,F,2011,1,7
21F,F,2011,1,7
21F,F,2011,1,7
21F,F,2011,1,8
21F,F,2011,1,8
21F,F,2011,1,9
21F,F,2011,1,9
21F,F,2011,1,9
21F,F,2010,3,9
21F,F,2010,3,10
21F,F,2010,3,16
21F,F,2010,3,20
21F,F,2010,3,21
21F,F,2010,3,23
21F,F,2011,3,17
21F,F,2011,3,17
21F,F,2011,3,18
21F,F,2011,3,18
21F,F,2011,3,18
21F,F,2011,3,19
21F,F,2011,3,19
21F,F,2011,3,20
21F,F,2011,3,20
21F,F,2011,3,20
21F,F,2011,3,21
21F,F,2011,3,21
21F,F,2011,3,22
21F,F,2011,3,22
21F,F,2011,3,23
21F,F,2011,3,23
21F,F,2011,3,23
21F,F,2011,3,24
21F,F,2011,3,24
21F,F,2011,3,25
21F,F,2011,3,25
21F,F,2011,3,25
21F,F,2011,3,26
21F,F,2011,3,26
21F,F,2011,3,27
21F,F,2011,3,27
21F,F,2011,3,28
21F,F,2011,3,28
21F,F,2011,3,28
21F,F,2011,3,29
21F,F,2011,3,29
21F,F,2011,3,30
21F,F,2010,2,21
21F,F,2010,2,21
21F,F,2010,2,21
21F,F,2010,2,22
21F,F,2010,2,22
21F,F,2010,2,23
21F,F,2010,2,23
21F,F,2010,2,18
21F,F,2010,2,18
21F,F,2010,2,18
21F,F,2010,2,19
21F,F,2010,2,19
21F,F,2010,2,20
21F,F,2010,2,20
21F,F,2010,2,9
21F,F,2010,2,10
21F,F,2010,2,10
21F,F,2010,2,11
21F,F,2010,2,11
21F,F,2010,2,11
21F,F,2010,2,12
21F,F,2010,2,23
21F,F,2010,2,24
21F,F,2010,2,8
21F,F,2010,2,9
21F,F,2010,2,15
21F,F,2010,2,15
21F,F,2010,2,16
21F,F,2010,2,16
21F,F,2010,2,16
21F,F,2010,2,17
21F,F,2010,2,17
21F,F,2010,2,12
21F,F,2010,2,13
21F,F,2010,2,13
21F,F,2010,2,13
21F,F,2010,2,14
21F,F,2010,2,14
21F,F,2010,3,5
22F,F,2009,3,1
22F,F,2009,3,1
22F,F,2009,3,2
22F,F,2009,3,2
22F,F,2009,3,3
22F,F,2009,3,3
22F,F,2009,3,3
22F,F,2009,3,4
22F,F,2009,3,4
22F,F,2009,3,5
22F,F,2009,3,5
22F,F,2009,3,5
22F,F,2009,3,6
22F,F,2009,3,6
22F,F,2009,3,7
22F,F,2009,3,8
22F,F,2009,3,8
22F,F,2009,3,8
22F,F,2009,3,9
22F,F,2009,3,10
22F,F,2009,3,10
22F,F,2009,3,11
22F,F,2009,3,13
22F,F,2009,3,13
22F,F,2009,3,13
22F,F,2009,3,14
22F,F,2011,1,29
22F,F,2011,1,29
22F,F,2011,2,1
22F,F,2011,2,3
22F,F,2011,2,4
22F,F,2011,2,4
22F,F,2011,2,5
22F,F,2011,2,7
22F,F,2011,2,8
22F,F,2011,2,8
22F,F,2011,2,9
22F,F,2011,2,10
22F,F,2011,2,10
22F,F,2011,2,11
22F,F,2011,2,11
22F,F,2011,2,13
22F,F,2011,2,13
22F,F,2011,2,14
22F,F,2011,2,15
22F,F,2011,2,16
22F,F,2011,2,16
22F,F,2011,2,16
22F,F,2011,2,17
22F,F,2011,2,17
22F,F,2011,2,18
22F,F,2011,2,18
22F,F,2011,2,18
22F,F,2011,2,19
22F,F,2011,2,19
22F,F,2011,2,20
22F,F,2011,2,20
22F,F,2011,2,21
